N,V,Tiempo
36,331,1.40439
36,336,1.41072
36,341,1.32484
36,346,1.5808
36,351,1.66013
36,356,1.56474
36,361,1.94822
36,366,1.84832
36,371,1.65997
36,376,2.95834
36,381,2.41721
36,386,3.00871
36,391,2.85948
36,396,3.06939
36,401,2.50304
36,406,1.78834
36,411,2.01369
36,416,2.5524
36,421,2.0574
36,426,2.20619
36,431,2.19242
36,436,2.46116
36,441,2.0674
36,446,2.43699
36,451,2.00796
36,456,2.20113
36,461,2.04949
36,466,2.42062
36,471,2.05693
36,476,2.98651
36,481,2.41357
36,486,2.20025
36,491,2.0396
36,496,2.5134
41,1,0.014282
41,6,0.017347
41,11,0.019733
41,16,0.057807
41,21,0.06189
41,26,0.094681
41,31,0.125333
41,36,0.131599
41,41,0.142482
41,46,0.16069
41,51,0.152627
41,56,0.239132
41,61,0.387099
41,66,0.440682
41,71,0.52731
41,76,0.292071
41,81,0.360216
41,86,0.462273
41,91,0.491599
41,96,0.596279
41,101,0.444574
41,106,0.448018
41,111,0.495139
41,116,0.43522
41,121,0.569239
41,126,0.805829
41,131,0.544293
41,136,0.550887
41,141,0.560005
41,146,0.770824
41,151,0.679981
41,156,0.926008
41,161,0.806322
41,166,0.998768
41,171,0.856494
41,176,0.922093
41,181,1.31866
41,186,0.914631
41,191,1.23896
41,196,1.01585
41,201,0.99037
41,206,1.0811
41,211,1.081
41,216,1.17717
41,221,1.13892
41,226,1.9968
41,231,1.30942
41,236,1.21146
41,241,1.19928
41,246,1.62167
41,251,1.32297
41,256,1.44547
41,261,1.38747
41,266,1.42508
41,271,1.60513
41,276,1.56216
41,281,1.51642
41,286,2.17293
41,291,1.85077
41,296,1.5618
41,301,2.22659
41,306,1.79582
41,311,1.75929
41,316,1.75755
41,321,2.11004
41,326,2.15182
41,331,1.87908
41,336,2.01281
41,341,2.18443
41,346,2.26882
41,351,1.97515
41,356,2.30397
41,361,1.86336
41,366,2.52426
41,371,2.06967
41,376,2.34401
41,381,2.16371
41,386,2.43911
41,391,2.224
41,396,3.11324
41,401,2.20191
41,406,2.48701
41,411,2.13536
41,416,2.88876
41,421,2.10271
41,426,2.44959
41,431,3.19874
41,436,2.19884
41,441,2.23533
41,446,2.98392
41,451,2.59259
41,456,2.52807
41,461,3.21688
41,466,3.1765
41,471,2.87439
41,476,3.26615
41,481,2.90722
41,486,2.75566
41,491,2.63505
41,496,2.88051
46,1,0.01574
46,6,0.029173
46,11,0.063844
46,16,0.05204
46,21,0.086253
46,26,0.224747
46,31,0.090628
46,36,0.15464
46,41,0.173862
46,46,0.261067
46,51,0.184191
46,56,0.214771
46,61,0.258855
46,66,0.283108
46,71,0.372584
46,76,0.489077
46,81,0.608694
46,86,0.440848
46,91,0.376153
46,96,0.614939
46,101,0.590624
46,106,0.637304
46,111,0.935108
46,116,0.782983
46,121,0.767333
46,126,0.636053
46,131,0.95157
46,136,0.874863
46,141,0.75288
46,146,1.18133
46,151,1.14537
46,156,0.771226
46,161,0.876221
46,166,1.0957
46,171,1.10936
46,176,1.01034
46,181,1.07
46,186,1.26322
46,191,1.10188
46,196,1.57141
46,201,1.34378
46,206,1.5987
46,211,1.94837
46,216,1.9048
46,221,1.38832
46,226,1.48179
46,231,1.99596
46,236,1.57933
46,241,1.69416
46,246,1.94423
46,251,2.18761
46,256,1.67082
46,261,1.76067
46,266,1.67613
46,271,2.13638
46,276,4.88056
46,281,3.21154
46,286,2.71516
46,291,2.14169
46,296,2.29758
46,301,3.06082
46,306,2.35129
46,311,2.23305
46,316,2.40286
46,321,2.54597
46,326,2.29083
46,331,2.50425
46,336,3.25274
46,341,2.07527
46,346,2.27536
46,351,2.36
46,356,2.50275
46,361,2.30941
46,366,2.94294
46,371,2.22326
46,376,2.61951
46,381,2.87114
46,386,2.88027
46,391,2.50203
46,396,2.61819
46,401,2.67654
46,406,3.13106
46,411,2.64677
46,416,3.20985
46,421,3.5618
46,426,2.70581
46,431,3.10044
46,436,3.46303
46,441,3.07074
46,446,2.93777
46,451,3.2681
46,456,4.43018
46,461,3.62886
46,466,3.49607
46,471,3.46205
46,476,3.63497
46,481,3.64463
46,486,3.46493
46,491,3.63304
46,496,3.89085
51,1,0.019047
51,6,0.053444
51,11,0.043345
51,16,0.07363
51,21,0.053858
51,26,0.113879
51,31,0.33359
51,36,0.319468
51,41,0.363358
51,46,0.485873
51,51,0.54008
51,56,0.523281
51,61,0.564184
51,66,0.437102
51,71,0.575004
51,76,0.76687
51,81,1.03866
51,86,0.962244
51,91,0.700767
51,96,0.748057
51,101,1.21612
51,106,0.873976
51,111,1.01752
51,116,1.27834
51,121,1.43564
51,126,1.42143
51,131,1.48432
51,136,1.75737
51,141,1.24724
51,146,1.51717
51,151,1.46976
51,156,1.80069
51,161,1.45525
51,166,1.21692
51,171,1.54628
51,176,1.93547
51,181,1.96979
51,186,2.10025
51,191,1.97198
51,196,2.14226
51,201,2.78675
51,206,2.05227
51,211,2.39804
51,216,2.12379
51,221,2.06288
51,226,1.72974
51,231,2.18369
51,236,2.03452
51,241,2.06729
51,246,1.75944
