n,V,resultado,tiempo (fuerzabruta)
0,150,-1,0.011101
0,150,-1,0.011487
0,150,-1,0.009988
0,150,-1,0.010138
0,150,-1,0.010313
0,150,-1,0.010275
0,150,-1,0.009638
0,160,-1,0.009913
0,160,-1,0.009975
0,160,-1,0.009938
0,160,-1,0.008725
0,160,-1,0.009638
0,160,-1,0.009763
0,160,-1,0.011601
0,160,-1,0.009425
0,160,-1,0.010638
0,160,-1,0.01035
0,160,-1,0.011901
0,160,-1,0.009638
0,160,-1,0.010162
0,160,-1,0.009688
0,160,-1,0.010512
0,160,-1,0.010526
0,160,-1,0.010112
0,160,-1,0.111377
0,160,-1,0.011187
0,160,-1,0.010175
0,170,-1,0.00985
0,170,-1,0.011063
0,170,-1,0.009725
0,170,-1,0.010637
0,170,-1,0.010087
0,170,-1,0.015026
0,170,-1,0.010525
0,170,-1,0.00995
0,170,-1,0.0098
0,170,-1,0.011063
0,170,-1,0.010687
0,170,-1,0.009475
0,170,-1,0.010213
0,170,-1,0.009712
0,170,-1,0.01125
0,170,-1,0.00945
0,170,-1,0.009587
0,170,-1,0.01045
0,170,-1,0.010226
0,170,-1,0.01005
0,180,-1,0.010487
0,180,-1,0.009988
0,180,-1,0.009812
0,180,-1,0.010125
0,180,-1,0.011388
0,180,-1,0.010225
0,180,-1,0.010312
0,180,-1,0.011313
0,180,-1,0.010325
0,180,-1,0.009913
0,180,-1,0.009301
0,180,-1,0.009913
0,180,-1,0.010363
0,180,-1,0.011487
0,180,-1,0.009951
0,180,-1,0.0168
0,180,-1,0.00965
0,180,-1,0.010475
0,180,-1,0.010388
0,180,-1,0.010438
0,190,-1,0.010637
0,190,-1,0.010251
0,190,-1,0.011775
0,190,-1,0.009588
0,190,-1,0.0127
0,190,-1,0.010137
0,190,-1,0.051589
0,190,-1,0.009625
0,190,-1,0.010038
0,190,-1,0.011838
0,190,-1,0.009888
0,190,-1,0.009988
0,190,-1,0.0104
0,190,-1,0.010376
0,190,-1,0.011063
0,190,-1,0.010238
0,190,-1,0.009163
0,190,-1,0.0106
0,190,-1,0.009875
0,190,-1,0.009125
0,200,-1,0.01055
0,200,-1,0.010125
0,200,-1,0.009963
0,200,-1,0.009963
0,200,-1,0.010163
0,200,-1,0.009075
0,200,-1,0.010175
0,200,-1,0.011063
0,200,-1,0.0103
0,200,-1,0.010975
0,200,-1,0.010113
0,200,-1,0.010212
0,200,-1,0.011262
0,200,-1,0.010025
0,200,-1,0.01015
0,200,-1,0.009887
0,200,-1,0.010475
0,200,-1,0.0102
0,200,-1,0.01
0,200,-1,0.009163
1,0,0,0.016512
1,0,0,0.022288
1,0,0,0.020026
1,0,0,0.019975
1,0,0,0.024288
1,0,0,0.013675
1,0,0,0.015738
1,0,0,0.0209
1,0,0,0.017463
1,0,0,0.021076
1,0,0,0.023626
1,0,0,0.023537
1,0,0,0.275692
1,0,0,0.021863
1,0,0,0.020288
1,0,0,0.015063
1,0,0,0.018588
1,0,0,0.014763
1,0,0,0.022513
1,0,0,0.036476
1,10,-1,0.014875
1,10,-1,0.023638
1,10,-1,0.017888
1,10,-1,0.021726
1,10,-1,0.021101
1,10,-1,0.025063
1,10,-1,0.013751
1,10,-1,0.041975
1,10,-1,0.01995
1,10,-1,0.020076
1,10,-1,0.015
1,10,-1,0.019075
1,10,-1,0.020175
1,10,-1,0.019188
1,10,-1,0.019263
1,10,-1,0.021763
1,10,-1,0.057289
1,10,-1,0.014225
1,10,-1,0.017751
1,10,-1,0.021725
1,20,-1,0.021975
1,20,-1,0.015325
1,20,-1,0.026675
1,20,-1,0.015688
1,20,-1,0.019
1,20,-1,0.020151
1,20,-1,0.021788
1,20,-1,0.019438
1,20,-1,0.04025
1,20,-1,0.023763
1,20,-1,0.020025
1,20,-1,0.024038
1,20,-1,0.014075
1,20,-1,0.015338
1,20,-1,0.023975
1,20,-1,0.014438
1,20,-1,0.014
1,20,-1,0.015088
1,20,-1,0.021488
1,20,-1,0.021888
1,30,-1,0.023
1,30,-1,0.023488
1,30,-1,0.019538
1,30,-1,0.020688
1,30,-1,0.015088
1,30,-1,0.0195
1,30,-1,0.014738
1,30,-1,0.017826
