n,V,resultado,tiempo (backtracking)
2,10,2,0.019175
2,10,2,0.03125
2,10,2,0.026763
2,10,2,0.023438
2,10,2,0.32473
2,10,2,0.029963
2,10,2,0.022488
2,10,2,0.026413
2,10,2,0.032113
2,10,2,0.018713
2,10,2,0.0186
2,10,2,0.024838
2,10,2,0.02565
2,10,2,0.026675
2,20,-1,0.074414
2,20,-1,0.018613
2,20,-1,0.019063
2,20,-1,0.022988
2,20,-1,0.022112
2,20,-1,0.018438
2,20,-1,0.031738
2,20,-1,0.023388
2,20,-1,0.018188
2,20,-1,0.027701
2,20,-1,0.024751
2,20,-1,0.0195
2,20,-1,0.017862
2,20,-1,0.026263
2,20,-1,0.024675
2,20,-1,0.02735
2,20,-1,0.018351
2,20,-1,0.023188
2,20,-1,0.026851
2,20,-1,0.028026
2,30,-1,0.029601
2,30,-1,0.027363
2,30,-1,0.020937
2,30,-1,0.018476
2,30,-1,0.025163
2,30,-1,0.031351
2,30,-1,0.027438
2,30,-1,0.018662
2,30,-1,0.022488
2,30,-1,0.026888
2,30,-1,0.023837
2,30,-1,0.026738
2,30,-1,0.023688
2,30,-1,0.02945
2,30,-1,0.01875
2,30,-1,0.018213
2,30,-1,0.022875
2,30,-1,0.029338
2,30,-1,0.026888
2,30,-1,0.026013
2,40,-1,0.0231
2,40,-1,0.026213
2,40,-1,1.78484
2,40,-1,0.018538
2,40,-1,0.028163
2,40,-1,0.0199
2,40,-1,0.020538
2,40,-1,0.025551
2,40,-1,0.025288
2,40,-1,0.02855
2,40,-1,0.0204
2,40,-1,0.02575
2,40,-1,0.018225
2,40,-1,0.0282
2,40,-1,0.01955
2,40,-1,0.019338
2,40,-1,0.0186
2,40,-1,0.024726
2,40,-1,0.02095
2,40,-1,0.024701
2,50,-1,0.023875
2,50,-1,0.027088
2,50,-1,0.029838
2,50,-1,0.017563
2,50,-1,0.022263
2,50,-1,0.026263
2,50,-1,0.023363
2,50,-1,0.026988
2,50,-1,0.023025
2,50,-1,0.023475
2,50,-1,0.025525
2,50,-1,0.03695
2,50,-1,0.0184
2,50,-1,0.02485
2,50,-1,0.023438
2,50,-1,0.018213
2,50,-1,0.018925
2,50,-1,0.027713
2,50,-1,0.0185
2,50,-1,0.018688
2,60,-1,0.030851
2,60,-1,0.028538
2,60,-1,0.025438
2,60,-1,0.025838
2,60,-1,0.025963
2,60,-1,0.025363
2,60,-1,0.026026
2,60,-1,0.019701
2,60,-1,0.027888
2,60,-1,0.020313
2,60,-1,0.019038
2,60,-1,0.023263
2,60,-1,0.025088
2,60,-1,0.020613
2,60,-1,0.026213
2,60,-1,0.019362
2,60,-1,0.029275
2,60,-1,0.024288
2,60,-1,0.0188
2,60,-1,0.025563
2,70,-1,0.018613
2,70,-1,0.018838
2,70,-1,0.020788
2,70,-1,0.023912
2,70,-1,0.0271
2,70,-1,0.025688
2,70,-1,0.064964
2,70,-1,0.022387
2,70,-1,0.02375
2,70,-1,0.0188
2,70,-1,0.023963
2,70,-1,0.025463
2,70,-1,0.029338
2,70,-1,0.0224
2,70,-1,0.020138
2,70,-1,0.022538
2,70,-1,0.024138
2,70,-1,0.01895
2,70,-1,0.025337
2,70,-1,0.01855
2,80,-1,0.026588
2,80,-1,0.019263
2,80,-1,0.022813
2,80,-1,0.019063
2,80,-1,0.026051
2,80,-1,0.049951
2,80,-1,0.021801
2,80,-1,0.026713
2,80,-1,0.029351
2,80,-1,0.027625
2,80,-1,0.039775
2,80,-1,0.025837
2,80,-1,0.018175
2,80,-1,0.019025
2,80,-1,0.026101
2,80,-1,0.018313
2,80,-1,0.02275
2,80,-1,0.0284
2,80,-1,0.027488
2,80,-1,0.026051
2,90,-1,0.025937
2,90,-1,0.019138
2,90,-1,0.022113
2,90,-1,0.019663
2,90,-1,0.025838
2,90,-1,0.0251
2,90,-1,0.018288
2,90,-1,0.020263
2,90,-1,0.027151
2,90,-1,0.018288
2,90,-1,0.023588
2,90,-1,0.023913
2,90,-1,0.025763
2,90,-1,0.017451
2,90,-1,0.026451
2,90,-1,0.022651
2,90,-1,0.023338
2,90,-1,0.018625
2,90,-1,0.023263
2,90,-1,0.025513
2,100,-1,0.022188
2,100,-1,0.018276
2,100,-1,0.028388
2,100,-1,0.024563
2,100,-1,0.018488
2,100,-1,0.026262
2,100,-1,0.0276
2,100,-1,0.089939
2,100,-1,0.023601
2,100,-1,0.022387
2,100,-1,0.022975
2,100,-1,0.018062
2,100,-1,0.026125
2,100,-1,0.018575
2,100,-1,0.027238
2,100,-1,0.02585
2,100,-1,0.019226
2,100,-1,0.025338
2,100,-1,0.024625
2,100,-1,0.024038
2,110,-1,0.024776
2,110,-1,0.018801
2,110,-1,0.024413
2,110,-1,0.027113
2,110,-1,0.025538
2,110,-1,0.021913
2,110,-1,0.025776
2,110,-1,0.019575
2,110,-1,0.026401
2,110,-1,0.019262
2,110,-1,0.026563
2,110,-1,0.020601
2,110,-1,0.017038
2,110,-1,0.0202
2,110,-1,0.0271
2,110,-1,0.01825
2,110,-1,0.026013
2,110,-1,0.023025
2,110,-1,0.033688
2,110,-1,0.026438
2,120,-1,0.027425
2,120,-1,0.020038
2,120,-1,0.027126
2,120,-1,0.017463
2,120,-1,0.019525
2,120,-1,0.0264
2,120,-1,0.02525
2,120,-1,0.025275
2,120,-1,0.026801
2,120,-1,0.024688
2,120,-1,0.026401
2,120,-1,0.018363
2,120,-1,0.023326
2,120,-1,0.027038
2,120,-1,0.023013
2,120,-1,0.026351
2,120,-1,0.0184
2,120,-1,0.019587
2,120,-1,0.027563
2,120,-1,0.030926
2,130,-1,0.029588
2,130,-1,0.018613
2,130,-1,0.0267
2,130,-1,0.018651
2,130,-1,0.023037
2,130,-1,0.025513
2,130,-1,0.018575
2,130,-1,0.025613
2,130,-1,0.018725
2,130,-1,0.018663
2,130,-1,0.0218
2,130,-1,0.025413
2,130,-1,0.025251
2,130,-1,0.029276
2,130,-1,0.021888
2,130,-1,0.018551
2,130,-1,0.018425
2,130,-1,0.023638
2,130,-1,0.053026
2,130,-1,0.025726
2,140,-1,0.018925
2,140,-1,0.01905
2,140,-1,0.025938
2,140,-1,0.022588
2,140,-1,0.022513
2,140,-1,0.018863
2,140,-1,0.025001
2,140,-1,0.022625
2,140,-1,0.019463
2,140,-1,0.0266
2,140,-1,0.024675
2,140,-1,0.019413
2,140,-1,0.024551
2,140,-1,0.018701
2,140,-1,0.024813
2,140,-1,0.018625
2,140,-1,0.019475
2,140,-1,0.024475
2,140,-1,0.025626
2,140,-1,0.025351
2,150,-1,0.025863
2,150,-1,0.027888
2,150,-1,0.025163
2,150,-1,0.02425
2,150,-1,0.026688
2,150,-1,0.025026
2,150,-1,0.022226
2,150,-1,0.022475
2,150,-1,0.019188
2,150,-1,0.024363
2,150,-1,0.023313
2,150,-1,0.023563
2,150,-1,0.018788
2,150,-1,0.023525
2,150,-1,0.020163
2,150,-1,0.017776
2,150,-1,0.025375
2,150,-1,0.018663
2,150,-1,0.026901
2,150,-1,0.022226
2,160,-1,0.019251
2,160,-1,0.037163
2,160,-1,0.018688
2,160,-1,0.02515
2,160,-1,0.019925
2,160,-1,0.027613
2,160,-1,0.027725
2,160,-1,0.02255
2,160,-1,0.0181
