n,V,resultado,tiempo
3,20,2,0.037013
3,30,-1,0.034263
3,30,-1,0.047576
3,30,-1,0.0377
3,30,-1,0.033213
3,30,-1,0.034225
3,30,-1,0.030713
3,30,-1,0.035701
3,30,-1,0.0314
3,30,-1,0.039513
3,30,-1,0.054126
3,30,-1,0.044013
3,30,-1,0.037025
3,30,-1,0.037176
3,30,-1,0.043488
3,30,-1,0.043738
3,30,-1,0.028913
3,30,-1,0.033313
3,30,-1,0.033175
3,30,-1,0.034313
3,30,-1,0.029288
3,40,1,0.030675
3,40,1,0.029388
3,40,1,0.033175
3,40,1,0.029175
3,40,1,0.036726
3,40,1,0.02935
3,40,1,0.029688
3,40,1,0.038188
3,40,1,0.036613
3,40,1,0.036188
3,40,1,0.038963
3,40,1,0.037925
3,40,1,0.039225
3,40,1,0.03005
3,40,1,0.037375
3,40,1,0.035613
3,40,1,0.037326
3,40,1,0.033351
3,40,1,0.036063
3,40,1,0.02955
3,50,-1,0.033388
3,50,-1,0.03585
3,50,-1,0.03085
3,50,-1,0.033738
3,50,-1,0.036613
3,50,-1,0.0407
3,50,-1,0.033876
3,50,-1,0.030988
3,50,-1,0.030963
3,50,-1,0.040539
3,50,-1,0.038413
3,50,-1,0.045476
3,50,-1,0.034188
3,50,-1,0.047463
3,50,-1,0.034988
3,50,-1,0.038988
3,50,-1,0.031913
3,50,-1,0.032413
3,50,-1,0.037188
3,50,-1,0.039063
3,60,-1,0.040863
3,60,-1,0.0475
3,60,-1,0.029225
3,60,-1,0.040213
3,60,-1,0.037075
3,60,-1,0.037638
3,60,-1,0.034488
3,60,-1,0.038763
3,60,-1,0.048063
3,60,-1,0.040001
3,60,-1,0.039913
3,60,-1,0.038676
3,60,-1,0.043851
3,60,-1,0.035763
3,60,-1,0.040388
3,60,-1,0.040138
3,60,-1,0.037363
3,60,-1,0.031651
3,60,-1,0.039963
3,60,-1,0.043475
3,70,-1,0.037838
3,70,-1,0.047538
3,70,-1,0.041575
3,70,-1,0.030201
3,70,-1,0.037238
3,70,-1,0.041026
3,70,-1,0.038238
3,70,-1,0.040913
3,70,-1,0.03765
3,70,-1,0.04625
3,70,-1,0.037251
3,70,-1,0.034775
3,70,-1,0.035413
3,70,-1,0.028676
3,70,-1,0.04965
3,70,-1,0.035325
3,70,-1,0.02965
3,70,-1,0.031376
3,70,-1,0.064313
3,70,-1,0.036588
3,80,-1,0.0332
3,80,-1,0.029788
3,80,-1,0.033726
3,80,-1,0.036626
3,80,-1,0.04655
3,80,-1,0.032801
3,80,-1,0.029538
3,80,-1,0.036838
3,80,-1,0.032675
3,80,-1,0.036538
3,80,-1,0.042789
3,80,-1,0.045276
3,80,-1,0.034913
3,80,-1,0.0375
3,80,-1,0.039551
3,80,-1,0.046826
3,80,-1,0.038613
3,80,-1,0.042188
3,80,-1,0.033051
3,80,-1,0.038251
3,90,-1,0.0373
3,90,-1,0.037588
3,90,-1,0.045301
3,90,-1,0.036888
3,90,-1,0.036951
3,90,-1,0.029238
3,90,-1,0.028726
3,90,-1,0.0332
3,90,-1,0.037413
3,90,-1,0.029526
3,90,-1,0.033575
3,90,-1,0.036263
3,90,-1,0.029201
3,90,-1,0.02935
3,90,-1,0.036238
3,90,-1,0.029413
3,90,-1,0.032825
3,90,-1,0.033363
3,90,-1,0.029613
3,90,-1,0.033563
3,100,-1,0.029338
3,100,-1,0.037575
3,100,-1,0.029575
3,100,-1,0.0334
3,100,-1,0.033063
3,100,-1,0.043276
3,100,-1,0.029113
3,100,-1,0.047713
3,100,-1,0.042864
3,100,-1,0.043913
3,100,-1,0.041763
3,100,-1,0.03655
3,100,-1,0.033213
3,100,-1,0.048263
3,100,-1,0.034613
3,100,-1,0.03375
3,100,-1,0.043601
3,100,-1,0.046663
3,100,-1,0.029526
3,100,-1,0.057701
3,110,-1,0.033926
3,110,-1,0.02965
3,110,-1,0.038113
3,110,-1,0.045601
3,110,-1,0.031138
3,110,-1,0.040725
3,110,-1,0.03095
3,110,-1,0.030351
3,110,-1,0.037313
3,110,-1,0.039563
3,110,-1,0.036713
3,110,-1,0.031113
3,110,-1,0.039814
3,110,-1,0.04295
3,110,-1,0.030975
3,110,-1,0.043113
3,110,-1,0.045125
3,110,-1,0.036701
3,110,-1,0.031076
3,110,-1,0.036738
3,120,-1,0.040626
3,120,-1,0.036638
3,120,-1,0.037138
3,120,-1,0.033513
3,120,-1,0.037175
3,120,-1,0.036588
3,120,-1,0.037788
3,120,-1,0.029876
3,120,-1,0.029963
3,120,-1,0.037175
3,120,-1,0.034725
3,120,-1,0.036588
3,120,-1,0.036476
3,120,-1,0.036076
3,120,-1,0.036651
3,120,-1,0.037438
3,120,-1,0.033288
3,120,-1,0.034138
3,120,-1,0.03565
3,120,-1,0.029113
3,130,-1,0.029725
3,130,-1,0.029525
3,130,-1,0.035138
3,130,-1,0.03565
3,130,-1,0.036988
3,130,-1,0.035926
3,130,-1,0.0361
3,130,-1,0.033776
3,130,-1,0.036813
3,130,-1,0.041738
3,130,-1,0.044751
3,130,-1,0.044963
3,130,-1,0.048139
3,130,-1,0.035475
3,130,-1,0.044488
3,130,-1,0.029263
3,130,-1,0.0294
3,130,-1,0.0324
3,130,-1,0.029351
3,130,-1,0.033288
3,140,-1,0.035226
3,140,-1,0.041013
3,140,-1,0.033426
3,140,-1,0.041376
3,140,-1,0.037626
3,140,-1,0.029425
3,140,-1,0.042413
3,140,-1,0.038389
3,140,-1,0.044751
3,140,-1,0.037163
3,140,-1,0.033863
3,140,-1,0.044988
3,140,-1,0.041226
3,140,-1,0.039326
3,140,-1,0.043626
3,140,-1,0.042513
3,140,-1,0.043375
3,140,-1,0.040188
3,140,-1,0.032713
3,140,-1,0.041713
3,150,-1,0.035425
3,150,-1,0.037176
3,150,-1,0.034076
3,150,-1,0.049051
3,150,-1,0.0378
3,150,-1,0.031063
3,150,-1,0.043913
3,150,-1,0.040588
3,150,-1,0.037175
3,150,-1,0.0395
3,150,-1,0.033163
3,150,-1,0.040938
3,150,-1,0.039164
3,150,-1,0.043238
3,150,-1,0.043126
3,150,-1,0.049576
3,150,-1,0.038313
3,150,-1,0.030275
3,150,-1,0.033312
3,150,-1,0.032338
3,160,-1,0.045313
3,160,-1,0.049213
3,160,-1,0.032276
3,160,-1,0.042213
3,160,-1,0.028963
3,160,-1,0.029063
3,160,-1,0.033326
3,160,-1,0.031938
3,160,-1,0.038525
