n,V,resultado,tiempo (programaciondinamica)
21,40,2,0.7190503
21,50,2,0.90527215
21,60,2,0.5415631
21,70,2,0.93591865
21,80,-1,0.4001827
21,90,2,0.94820285
21,100,2,0.7635941
21,110,-1,0.5530296
21,120,2,1.03310995
21,130,2,0.7785818
21,140,2,0.5108402
21,150,3,1.7176928
21,160,2,1.2343335
21,170,2,1.1092125
21,180,2,1.55205155
21,190,2,1.0772477
21,200,3,0.91877465
22,10,1,0.17439335
22,20,1,0.2404507
22,30,2,0.9025234
22,40,2,0.44936535
22,50,2,1.0803728
22,60,2,1.41052805
22,70,1,0.6647906
22,80,1,0.42097305
22,90,1,1.2461448
22,100,1,0.59743645
22,110,3,0.75326095
22,120,1,1.46525225
22,130,3,1.0764695
22,140,2,0.6788365
22,150,1,0.48378155
22,160,3,2.0235156
22,170,2,1.04203755
22,180,1,1.2263862
22,190,1,0.5467204
22,200,2,2.8067228
23,10,1,0.41080285
23,20,2,0.4142774
23,30,1,0.3607902
23,40,2,0.6259206
23,50,1,0.47769325
23,60,2,0.3541432
23,70,2,0.55401445
23,80,2,0.98363025
23,90,2,1.323102
23,100,2,1.06455905
23,110,1,1.2344745
23,120,2,2.13205215
23,130,2,1.7058265
23,140,2,0.75007105
23,150,2,1.2276128
23,160,3,1.113672
23,170,2,1.63061065
23,180,2,2.0360964
23,190,1,1.4493765
23,200,2,1.6987915
24,10,1,0.19410185
24,20,1,0.54852995
24,30,2,0.37914915
24,40,1,0.65735625
24,50,2,0.6485699
24,60,2,0.95593525
24,70,2,0.78075435
24,80,1,0.669447
24,90,1,1.26303105
24,100,3,1.3368007
24,110,2,0.6466067
24,120,2,3.04719485
24,130,2,2.3006645
24,140,2,1.6146815
24,150,2,1.5838
24,160,2,0.72985295
24,170,2,1.9416526
24,180,2,1.99436635
24,190,2,2.28004185
24,200,1,2.7322868
25,10,1,0.30886305
25,20,1,0.73937745
25,30,1,0.70382015
25,40,1,1.0367461
25,50,2,1.94248275
25,60,2,1.8401185
25,70,2,1.1099966
25,80,2,0.8933183
25,90,2,1.40249885
25,100,2,1.21320325
25,110,2,1.18708495
25,120,2,1.71751625
25,130,2,2.277847
25,140,2,2.0927545
25,150,2,1.1560935
25,160,2,1.7534225
25,170,2,2.1349715
25,180,2,1.364568
25,190,1,2.4963705
25,200,2,2.505713
26,10,1,0.24315145
26,20,2,0.40154025
26,30,2,0.6099461
26,40,2,0.7391463
26,50,2,1.0540651
26,60,2,1.0806973
26,70,2,1.2035697
26,80,1,1.12374615
26,90,1,1.55019285
26,100,2,1.3889213
26,110,2,1.39913775
26,120,2,1.827352
26,130,1,1.684391
26,140,2,2.392134
26,150,2,1.3617305
26,160,3,1.778919
26,170,2,3.156829
26,180,1,3.344763
26,190,3,2.0849325
26,200,2,2.6974695
27,10,1,0.6072609
27,20,1,0.3923857
27,30,1,0.71572695
27,40,1,0.5122002
27,50,2,0.84480345
27,60,2,0.8951451
27,70,1,0.8645059
27,80,2,1.4660366
27,90,2,1.128806
27,100,2,0.68848365
27,110,2,1.7291769
27,120,2,1.4473155
27,130,2,2.975674
27,140,2,1.8533295
27,150,2,1.4683625
27,160,1,1.6679865
27,170,2,1.3358595
27,180,2,4.1141445
27,190,2,2.282498
27,200,2,1.7895295
28,10,1,0.2461414
28,20,1,0.91317405
28,30,1,0.92925695
28,40,1,0.74723265
28,50,1,1.91358235
28,60,2,1.13186295
28,70,2,1.00373085
28,80,1,0.89460005
28,90,1,1.7074497
28,100,2,1.461117
28,110,1,1.645614
28,120,2,2.1193825
